pos_v2;tras_original;titulo;concepto;archivo_commons;autor;licencia;px;url
10;9;Del planeta a la quebrada;Un mismo incendio esta gobernado a la vez por escalas de miles de kilometros y de cientos de metros.;Wildfire Smoke Plumes over Texas.JPG;ISS Expedition 28 crew;Public domain;4288x2848;https://commons.wikimedia.org/wiki/File:Wildfire_Smoke_Plumes_over_Texas.JPG
13;11;;La escala sinoptica es la de los sistemas de presion de la carta: 1.000 a 2.000 km y varios dias de vida.;Xynthia MODIS image 2010-02-27 lrg.jpg;NASA;Public domain;4096x2048;https://commons.wikimedia.org/wiki/File:Xynthia_MODIS_image_2010-02-27_lrg.jpg
15;12;La escala donde vive el analista;La mesoescala va de 2 a 2.000 km y de horas a un dia: se ve entera desde un punto y dura una tarde.;Supercell with bell-bottom updraft.jpg;Rollingskyphoto;CC BY 4.0;6960x4640;https://commons.wikimedia.org/wiki/File:Supercell_with_bell-bottom_updraft.jpg
18;14;La última fila es consecuencia, no causa;El embudo termina en microescala: la quebrada canaliza el viento y eso es consecuencia, no causa.;Portugal blaze ESA25039484.jpg;European Space Agency;Attribution;10360x9252;https://commons.wikimedia.org/wiki/File:Portugal_blaze_ESA25039484.jpg
20;15;Lo que no cabe en la grilla;Se parametriza lo que ocurre a escala menor que la grilla y el modelo no puede resolver explicitamente.;Flickr - Nicholas T - Road Less Traveled.jpg;Nicholas A. Tonelli from Pennsylvania, USA;CC BY 2.0;4320x2571;https://commons.wikimedia.org/wiki/File:Flickr_-_Nicholas_T_-_Road_Less_Traveled.jpg
23;17;Ochocientos metros que el modelo no ve;Un rasgo de terreno de cientos de metros no existe para el modelo: hay que interpretarlo, no leerlo.;Steep River Bend (54278806342).jpg;Eric Kilby from Somerville, MA, USA;CC BY-SA 2.0;8179x5453;https://commons.wikimedia.org/wiki/File:Steep_River_Bend_(54278806342).jpg
25;18;;"El pronostico dice que va a pasar; el analisis dice que sistema lo produce y cuanto va a durar.";Met dome on Kailasagiri.jpg;Drashokk;CC BY-SA 4.0;3872x2592;https://commons.wikimedia.org/wiki/File:Met_dome_on_Kailasagiri.jpg
27;19;Tres fuerzas, y un hemisferio invertido;El aire se mueve por tres fuerzas, y en el hemisferio sur el sentido de los giros se invierte.;Cumulonimbus arcus über Panketal.jpg;Birkho;CC BY-SA 4.0;5456x3632;https://commons.wikimedia.org/wiki/File:Cumulonimbus_arcus_%C3%BCber_Panketal.jpg
31;22;En superficie el viento cruza las isobaras;Con topografia rugosa y capa limite inestable el viento de superficie cruza las isobaras 25 a 45 grados o mas.;Wind swept pine - Killarney Provincial Park.JPG;Óðinn;CC BY-SA 2.5 ca;3000x2250;https://commons.wikimedia.org/wiki/File:Wind_swept_pine_-_Killarney_Provincial_Park.JPG
34;24;El viento de todos los días;El anticiclon del Pacifico gira antihorario y su flanco oriental produce el flujo fresco del sur y suroeste de todos los dias.;Clouds off Baja California (MODIS 2019-06-24).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;3488x2763;https://commons.wikimedia.org/wiki/File:Clouds_off_Baja_California_(MODIS_2019-06-24).jpg
36;25;;El eje este-oeste y la secuencia diaria no se invierten: el sol sigue saliendo por el este, sobre el continente.;Pilar solar detrás del Monte Aconcagua. Solar pillar behind Mount Aconcagua.png;Kinosmosis;CC BY-SA 4.0;8688x4887;https://commons.wikimedia.org/wiki/File:Pilar_solar_detr%C3%A1s_del_Monte_Aconcagua._Solar_pillar_behind_Mount_Aconcagua.png
39;27;;Una masa de aire es un volumen extenso y homogeneo en temperatura y humedad, adquiridas en su region de origen.;Open- and Closed-Cell Clouds over the Pacific Ocean (MODIS).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;3485x2689;https://commons.wikimedia.org/wiki/File:Open-_and_Closed-Cell_Clouds_over_the_Pacific_Ocean_(MODIS).jpg
43;30;El borde entre dos masas de aire;Cada masa de aire llega con una firma propia de temperatura y humedad, y el cambio de masa se reconoce como un borde, no como una tendencia suave.;Open- and Closed-Cell Clouds over the Pacific (MODIS 2022-08-29).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;5992x4803;https://commons.wikimedia.org/wiki/File:Open-_and_Closed-Cell_Clouds_over_the_Pacific_(MODIS_2022-08-29).jpg
49;35;;El paso de un frente frío es un cambio brusco: el máximo de viento coincide con el giro y dura minutos, no horas.;Cold front.jpg;;Public domain;2592x1944;https://commons.wikimedia.org/wiki/File:Cold_front.jpg
51;36;La lluvia que no llega al suelo;El frente peligroso es el seco: la precipitación se evapora antes de tocar el suelo y solo entrega giro y rachas.;Blue Lighting in the Desert 02.jpg;Digitalintuitive;CC BY-SA 4.0;6000x4000;https://commons.wikimedia.org/wiki/File:Blue_Lighting_in_the_Desert_02.jpg
53;37;El flanco largo se convierte en cabeza;Al girar el viento, el flanco largo del incendio se convierte en cabeza y el frente de llama se multiplica de golpe.;Powerline Protection (7087855555).jpg;U. S. Fish and Wildlife Service - Northeast Region;Public domain;3264x2448;https://commons.wikimedia.org/wiki/File:Powerline_Protection_(7087855555).jpg
55;38;;"Separador de bloque: la atmósfera no quema; fija la humedad del combustible y el viento, y de ahí salen intensidad y longitud de llama.";2026-08-09 Eucalypt forest in Amoreira.jpg;Alexkom000;CC BY 4.0;5284x3523;https://commons.wikimedia.org/wiki/File:2026-08-09_Eucalypt_forest_in_Amoreira.jpg
57;39;Misma agua, otra temperatura;La humedad relativa depende de la temperatura tanto como del agua presente: sube el sol, baja la humedad sin que salga una sola molécula de agua.;Coachella Valley Sunrise.jpg;Tom Hilton;CC BY 2.0;5408x3600;https://commons.wikimedia.org/wiki/File:Coachella_Valley_Sunrise.jpg
59;40;Las bases marcan el punto de rocío;"El punto de rocío es la temperatura de saturación de ese aire; a diferencia de la humedad relativa, mide el agua que hay y no se mueve con el ciclo diario.";Cumulus humilis - 39.jpg;Another one of my pictures: This photograph was taken by Medium69 (William Crochot) and released under the license stated below. You are free to use it for a;CC BY-SA 4.0;5472x3648;https://commons.wikimedia.org/wiki/File:Cumulus_humilis_-_39.jpg
63;43;No hace calor: llegó otro aire;El viento del este trae otro aire: el punto de rocío se desploma y no se recupera al anochecer, y eso no lo hace el ciclo diario.;View from Table Mountain Café.jpg;Ossewa;CC BY-SA 4.0;3557x2118;https://commons.wikimedia.org/wiki/File:View_from_Table_Mountain_Caf%C3%A9.jpg
65;44;;Con calor persistente bajo bloqueo no hay cambio de masa de aire que detectar: el aviso lo da la acumulación de días sobre umbral y la sequedad del combustible.;Zea mays drought (01).jpg;Rasbak;CC BY-SA 3.0;7360x4912;https://commons.wikimedia.org/wiki/File:Zea_mays_drought_(01).jpg
67;45;;El combustible fino muerto —hojarasca, pasto seco, ramillas— responde en horas y es el principal control de la ignición y de la propagación inicial.;Cured Cheat Grass in White Pine County, NV.JPG;Jrmichae;CC BY-SA 4.0;4272x2848;https://commons.wikimedia.org/wiki/File:Cured_Cheat_Grass_in_White_Pine_County,_NV.JPG
69;46;Cada diámetro responde a su tiempo;El tiempo de retardo depende del diámetro: lo fino se equilibra en horas y lo grueso en días, con un decaimiento exponencial hacia la humedad de equilibrio.;Fuchsia excorticata leaf litter.jpg;Alexeyevitch;CC BY-SA 4.0;4000x3000;https://commons.wikimedia.org/wiki/File:Fuchsia_excorticata_leaf_litter.jpg
73;49;La brasa enciende donde el fósforo no;No hay umbral universal de ignición: varía por especie, y la ignición por brasa ocurre con humedades bastante más altas que la ignición por llama.;Embers 01.JPG;Jens Buurgaard Nielsen;Public domain;1901x1269;https://commons.wikimedia.org/wiki/File:Embers_01.JPG
75;50;En Chile la solana mira al norte;En el hemisferio sur la exposición crítica de la tarde es la que mira al norte y noroeste, no al sur.;Mount Murongole at Sunset.jpg;Timothy Akolamazima;CC BY-SA 4.0;5787x3863;https://commons.wikimedia.org/wiki/File:Mount_Murongole_at_Sunset.jpg
77;51;;La intensidad de Byram es energía liberada por unidad de tiempo y por metro lineal de frente de llama.;Vandenberg Trains for Wildfires (9145846).jpg;U.S. Space Force photo by Staff Sgt. Joshua LeRoi;Public domain;3663x2440;https://commons.wikimedia.org/wiki/File:Vandenberg_Trains_for_Wildfires_(9145846).jpg
80;53;Byram no cuenta la brasa;Byram describe solo la combustión con llama: no contabiliza la combustión incandescente posterior, que es la que sostiene el fuego en suelo orgánico y turba.;Peat fire in Selangor, Malaysia on 5 June 2013.JPG;Tan Yi Han;CC BY-SA 3.0;2048x1536;https://commons.wikimedia.org/wiki/File:Peat_fire_in_Selangor,_Malaysia_on_5_June_2013.JPG
83;55;Con viento la llama se tumba;Con viento la llama se inclina, y su longitud puede duplicar su altura: la variable de la ecuación y de las tablas de ataque es la longitud.;Freeway Complex Fire.jpg;Bluedv;CC BY 3.0;3072x2048;https://commons.wikimedia.org/wiki/File:Freeway_Complex_Fire.jpg
86;57;;La regla chilena 30-30-30 combina humedad relativa, temperatura y viento, más una cuarta condición: dirección este.;My Public Lands Roadtrip- Remote Automated Weather Stations (20912441941).jpg;mypubliclands;Public domain;3648x2736;https://commons.wikimedia.org/wiki/File:My_Public_Lands_Roadtrip-_Remote_Automated_Weather_Stations_(20912441941).jpg
88;58;Sirve para levantar la mano;La 30-30-30 es una regla de alerta: sirve para levantar la mano, no para calcular velocidad, intensidad ni distinguir combustibles.;Red flag warning.JPG;Jeffrey Beall;CC BY 4.0;3474x1803;https://commons.wikimedia.org/wiki/File:Red_flag_warning.JPG
92;61;Bajo el dosel el viento no llega;La regla del 10 % fue construida para pastizal y matorral: bajo dosel cerrado el viento a media llama es una fracción muy menor del viento de meteograma.;Canopy cover above forest road JEG3081.jpg;PJeganathan;CC BY-SA 4.0;4928x3264;https://commons.wikimedia.org/wiki/File:Canopy_cover_above_forest_road_JEG3081.jpg
94;62;;Cuando el incendio pasa a estar dominado por su propia columna, el avance ya no lo fija el viento ambiental sino la circulación que el propio incendio genera.;Pyrocumulus cloud produced by the Dixie Fire on July 22-5865.jpg;Frank Schulenburg;CC BY-SA 4.0;5899x3933;https://commons.wikimedia.org/wiki/File:Pyrocumulus_cloud_produced_by_the_Dixie_Fire_on_July_22-5865.jpg
97;64;La intensidad decide el ataque;La cadena completa: la atmósfera fija humedad de combustible y viento, esos fijan la velocidad, la velocidad fija la intensidad y la intensidad fija lo que se puede hacer con esa llama.;Fighting fire from the air- helitack - 52345747871.jpg;BLM Oregon & Washington;CC BY 2.0;5184x3456;https://commons.wikimedia.org/wiki/File:Fighting_fire_from_the_air-_helitack_-_52345747871.jpg
99;65;;BLOQUE Los mapas: el sistema que gobierna un episodio no se ve desde el suelo, se ve en un mapa y en varios pisos de la atmósfera.;Africa from low orbiting satellite Suomi NPP.jpg;NASA/NOAA;Public domain;11500x11500;https://commons.wikimedia.org/wiki/File:Africa_from_low_orbiting_satellite_Suomi_NPP.jpg
106;71;Es el producto, no la causa;La baja costera es un producto de la configuración de gran escala: empezar el análisis por ella, sin mirar qué la sostiene, convierte el análisis en descripción.;Spectacular clouds off of Madagascar (MODIS 2020-08-08).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;6173x5092;https://commons.wikimedia.org/wiki/File:Spectacular_clouds_off_of_Madagascar_(MODIS_2020-08-08).jpg
109;73;Aquí el 850 hPa es roca;En Chile el nivel de 850 hPa está bajo tierra en gran parte del territorio andino: el nivel operativo es 700 hPa.;Snow Comes to the Atacama Desert.jpg;ESO/S. Guisard;CC BY 4.0;8337x4000;https://commons.wikimedia.org/wiki/File:Snow_Comes_to_the_Atacama_Desert.jpg
112;75;El embudo es un orden de pantallas;El analisis se recorre de arriba hacia abajo: 500 hPa primero, 700 hPa despues, superficie al final.;National Weather Service - Flagstaff (5456283079).jpg;Bill Morrow;CC BY 2.0;5616x3744;https://commons.wikimedia.org/wiki/File:National_Weather_Service_-_Flagstaff_(5456283079).jpg
116;78;Sume los trazos, no mire el lado;Las barbas de viento se leen sumando trazos y mirando el eje: el lado no es confiable en el hemisferio sur.;Cirrus uncinus clouds in the morning sky.jpg;ADARSHluck;CC BY-SA 4.0;5278x3524;https://commons.wikimedia.org/wiki/File:Cirrus_uncinus_clouds_in_the_morning_sky.jpg
118;79;;La corriente en chorro es una banda estrecha de viento muy intenso en la alta troposfera que organiza todo lo demas.;Cirrus stream over Melbourne CBD (4838023810).jpg;Travellers travel photobook from Melbourne, Australia, Australia;CC BY 2.0;3985x2422;https://commons.wikimedia.org/wiki/File:Cirrus_stream_over_Melbourne_CBD_(4838023810).jpg
122;82;El oeste no descansa en verano;El cinturon de vientos del oeste deja a Aysen y Magallanes bajo viento persistente durante todo el verano.;Morning on the Patagonian Steppe.jpg;Remarksman;CC BY 2.0;4032x2268;https://commons.wikimedia.org/wiki/File:Morning_on_the_Patagonian_Steppe.jpg
125;84;Sin el sistema no hay proyección;Cierre del bloque de mapas: el modelo entrega numeros, la carta entrega el sistema que los produce.;Saharan Dust Storm in the Atlantic Ocean.jpg;European Union, Copernicus Sentinel-3 imagery;Attribution;4410x2792;https://commons.wikimedia.org/wiki/File:Saharan_Dust_Storm_in_the_Atlantic_Ocean.jpg
127;85;;Apertura de bloque: el catalogo de los sistemas que efectivamente producen incendios en Chile.;Atardecer rosado, puesta de sol en Santiago, Chile con el telón de la Cordillera de los Andes nevado.jpg;Nbendersky;CC BY-SA 4.0;4032x2861;https://commons.wikimedia.org/wiki/File:Atardecer_rosado,_puesta_de_sol_en_Santiago,_Chile_con_el_tel%C3%B3n_de_la_Cordillera_de_los_Andes_nevado.jpg
129;86;Somera, cálida y pegada a la costa;La baja costera es una baja somera y de nucleo calido que se extiende mil kilometros a lo largo de la costa.;"Satellite Shows West Coast ""June Gloom"" and Actinoform clouds (9009302654).jpg";NASA Goddard Space Flight Center from Greenbelt, MD, USA;Public domain;3600x3000;https://commons.wikimedia.org/wiki/File:Satellite_Shows_West_Coast_%22June_Gloom%22_and_Actinoform_clouds_(9009302654).jpg
131;87;El aire desciende y se calienta;Mecanismo paso a paso: el flujo del este desciende sobre los Andes, se calienta por compresion y forma la baja costera.;Chinook Arch - panoramio (1).jpg;Jack Borno;CC BY-SA 3.0;4167x2760;https://commons.wikimedia.org/wiki/File:Chinook_Arch_-_panoramio_(1).jpg
137;92;El mecanismo se ve, el dato falta;Raco y Terral comparten mecanismo con el Puelche, pero no tienen respaldo cuantitativo publicado sobre incendios.;Volcano Plume Continues Blowing East Over Argentina to Atlantic Ocean (5833561366).jpg;NASA Goddard Space Flight Center from Greenbelt, MD, USA;Public domain;5600x4400;https://commons.wikimedia.org/wiki/File:Volcano_Plume_Continues_Blowing_East_Over_Argentina_to_Atlantic_Ocean_(5833561366).jpg
140;94;;La ventana critica es el periodo en que el incendio queda fuera de la capacidad de control y el ataque directo deja de ser viable.;River Road East Fire- Smoke Column (53798055430).jpg;Forest Service - Northern Region;Public domain;4032x3024;https://commons.wikimedia.org/wiki/File:River_Road_East_Fire-_Smoke_Column_(53798055430).jpg
143;96;;La senal de cierre es el retorno de la capa limite marina: nubosidad baja que reingresa y viento que gira al oeste.;Large-scale Fractal Motion of Clouds (5638320696).jpg;NASA Goddard Space Flight Center from Greenbelt, MD, USA;CC BY 2.0;4664x4574;https://commons.wikimedia.org/wiki/File:Large-scale_Fractal_Motion_of_Clouds_(5638320696).jpg
145;97;El bloqueo no cierra la ventana;Con bloqueo persistente la ventana no se cierra: el episodio puede sostenerse durante una semana.;Smoke and Fire in Eastern Asia (MODIS 2022-04-21).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;5144x4326;https://commons.wikimedia.org/wiki/File:Smoke_and_Fire_in_Eastern_Asia_(MODIS_2022-04-21).jpg
147;98;El regreso de la capa marina;Cierre del bloque: la cadena dorsal-subsidencia-baja costera-viento del este, y que la señal de cierre del episodio es el retorno de la capa límite marina.;Clouds off Peru (MODIS 2022-08-01).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;8132x6076;https://commons.wikimedia.org/wiki/File:Clouds_off_Peru_(MODIS_2022-08-01).jpg
149;99;El viento que empuja la llama;Apertura del bloque: entre el viento del meteograma y el viento que realmente empuja la llama hay un factor de dos o tres, y cinco alturas de referencia distintas.;Prescribed burn of marsh grasses showing heavy plant growth with flames and smoke.jpg;David Menke;Public domain;3998x2700;https://commons.wikimedia.org/wiki/File:Prescribed_burn_of_marsh_grasses_showing_heavy_plant_growth_with_flames_and_smoke.jpg
153;102;El mismo instrumento, dos cifras;Dos cifras de viento del mismo anemómetro pueden diferir solo por el intervalo de promediado: 10 minutos en meteorología de incendios, 2 minutos en la práctica estadounidense.;Wind Indicator at Godavari Tank Bund.JPG;Vivek rachuri;CC BY-SA 3.0;4224x2376;https://commons.wikimedia.org/wiki/File:Wind_Indicator_at_Godavari_Tank_Bund.JPG
155;103;;El viento que entra al modelo de Rothermel es el de la altura de la mitad de la llama, siempre menor que el de 20 pies: el factor de ajuste WAF es siempre menor que 1.;Mapping Fire’s Spread in a Georgia Pine Burn (154549 - fortstewarthelicopter 202504 lrg).jpg;NASA Earth Observatory images annotated by Lauren Dauphin using AVIRIS-3 data via the AVIRIS Data Portal AVIRIS Data Portal. Photos by Milan Loiacono/NASA’s Ame;Public domain;5751x3834;https://commons.wikimedia.org/wiki/File:Mapping_Fire%E2%80%99s_Spread_in_a_Georgia_Pine_Burn_(154549_-_fortstewarthelicopter_202504_lrg).jpg
157;104;Bajo dosel cerrado, la sexta parte;La cadena numérica del viento: 30 km/h a 10 m se convierten en 26 a 20 pies, 13 a media llama y solo 3 a 5 km/h bajo dosel cerrado.;Stand re-initiation of shade-tolerant spruce and fir beneath a closed canopy of lodgepole pine. LP2 cover type where the forest (9a4615fe-7c25-4666-b713-d2046774e24d).jpg;NPS;Public domain;5040x3360;https://commons.wikimedia.org/wiki/File:Stand_re-initiation_of_shade-tolerant_spruce_and_fir_beneath_a_closed_canopy_of_lodgepole_pine._LP2_cover_type_where_the_forest_(9a4615fe-7c25-4666-b713-d2046774e24d).jpg
159;105;;El viento efectivo integra viento a media llama y pendiente, y gobierna la relación largo-ancho de la elipse de propagación.;NASA spies wildfires running amok in California (37367420790).jpg;NASA Goddard Space Flight Center from Greenbelt, MD, USA;CC BY 2.0;3400x4400;https://commons.wikimedia.org/wiki/File:NASA_spies_wildfires_running_amok_in_California_(37367420790).jpg
161;106;Aquí el modelo deja de responder;El modelo de Rothermel trunca el efecto del viento sobre cierto umbral: en un evento de viento extremo entrega una propagación artificialmente estancada.;Extreme Fire in New South Wales (MODIS 2023-12-19).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;3424x2600;https://commons.wikimedia.org/wiki/File:Extreme_Fire_in_New_South_Wales_(MODIS_2023-12-19).jpg
